Date,Global_Factor_filtered,Facilitating_filtered,Other_filtered,Restrictive_filtered,Remaining_others_filtered,G20_filtered,Non_G20_filtered,GDP_weighted_filtered
Aug 2017,-1.28112429270898,-0.812650870474231,-1.60835926666288,-1.65221913791196,-2.21958523283758,-0.579775399328957,-2.30182593165039,0.278799701670369
Sep 2017,-1.65399758341761,-1.30418086743034,-1.54659076033684,-1.48129456559476,-2.32340727483758,-0.856840567224861,-2.38407837029496,-0.0312425435163734
Oct 2017,-1.76720558216666,-1.64787528007725,-1.40292878976783,-2.13968397139334,-1.93487868139042,-0.729436025194446,-2.19440039660134,-0.89347069804224
Nov 2017,-2.06106001543255,-1.6553574647863,-1.6384578189841,-2.423903618945,-1.69480239007884,-1.05945189722806,-1.87218685792126,-1.45918775856919
Dec 2017,-1.35454550513587,-0.941785405221714,-1.19412597684187,-2.02983408787793,-1.18444517692564,-0.415321535989267,-1.63340473811839,-0.96413771881717
Jan 2018,-0.251804494395008,-0.0372696779456033,-0.406331016826094,-0.951891854877908,-0.524774228076083,0.277529689984798,-1.23674279971887,0.190293603470106
Feb 2018,-0.111853272756954,0.272741948110471,-0.231690844036698,-0.909988106034688,-0.144572000018998,0.499025483970344,-1.41803733320863,0.218790839853826
Mar 2018,0.0424821142522571,0.233783977898326,-0.0105899069882973,-0.841003895271577,-0.0207811179504975,0.702513624070158,-1.3364263533891,0.33575908966056
Apr 2018,-0.381924126325107,-0.124182820510182,-0.203509289081569,-0.929248182779531,-0.209871475000067,0.460778100056771,-1.33384475250669,0.369795425211099
May 2018,-0.213094410994388,-0.105002549803713,-0.104787094669912,-0.781499367002909,-0.289888108787684,0.595316691215998,-1.09932716949581,0.707135050982774
Jun 2018,0.0666055719939311,0.0964192692431682,0.0098667504547949,-0.573186091722775,-0.198468382809975,0.722348771371777,-0.882689028134279,1.01710388762335
Jul 2018,0.134688162170023,0.119536616432715,0.14511782316681,-0.520373999283001,-0.118591891626931,0.635943868446339,-0.78401194390217,0.958899351647226
Aug 2018,0.303390005222771,0.188071053663593,0.326333910789539,-0.448990598125194,0.0271606176946217,0.683615918762262,-0.528469401677392,1.08294330731935
Sep 2018,0.423086732722259,0.208238626085619,0.644033729100966,-0.359119187966385,0.161581192537242,0.817555925252132,-0.583570652992485,1.34345697951793
Oct 2018,0.744562733698066,0.449421240324857,0.824824996930265,-0.412946741414536,0.259926104740877,1.08237152967679,-0.583689973027766,1.27517307039076
Nov 2018,0.661129159078945,0.337314143719334,0.821525101908481,-0.616107962097048,0.401888572069272,0.942497705525923,-0.514958846537021,1.24991633905771
